frequency_ghz,truth_il_s7_1_db,curve_il_s7_1_db,full_matrix_il_s7_1_db,truth_s1_1_real,truth_s1_1_imag,prediction_s1_1_real,prediction_s1_1_imag,truth_s8_1_real,truth_s8_1_imag,prediction_s8_1_real,prediction_s8_1_imag
0.5,0.26530746,0.4002032,20.525726,0.015976854,-0.014194979,-0.029190032,-0.022817722,-0.0026819338,0.00029909684,0.0039190543,0.0028009817
1.0,0.40920755,0.6102881,20.278461,-0.008329133,-0.04209146,-0.032219928,-0.02866367,0.0010153666,0.0053029964,0.004840023,0.0033448092
1.5,0.52509207,0.6860308,20.031097,0.021587094,-0.017667858,-0.03533846,-0.03468064,0.0076780957,-0.0029182693,0.005787934,0.003904546
2.0,0.65808797,0.76559967,19.777948,-0.032434117,-0.07360867,-0.03862306,-0.041018013,-0.004431277,-0.009967324,0.0067863227,0.004494089
2.5,0.74574685,0.92322296,19.539553,0.03706094,-0.03783778,-0.041804917,-0.047157165,-0.011026566,0.007551792,0.007753482,0.005065192
3.0,0.88707095,1.0413814,19.29197,-0.06284572,-0.089696705,-0.04520305,-0.053713594,0.010036935,0.013280275,0.00878638,0.005675113
3.5,0.9647182,1.2311263,19.048141,0.05021114,-0.073022336,-0.048645504,-0.060355544,0.0124768615,-0.013412858,0.00983275,0.0062929895
4.0,1.1028345,1.5182948,18.814337,-0.09116961,-0.09026706,-0.05203839,-0.066901855,-0.01755104,-0.014408662,0.010864054,0.006901969
4.5,1.1983715,1.7796206,18.594212,0.052469302,-0.1197526,-0.055317227,-0.07322811,-0.011970326,0.02001492,0.011860691,0.0074904785
5.0,1.3057454,1.9286914,18.384535,-0.11051089,-0.07888571,-0.058518585,-0.079404876,0.02630067,0.012463843,0.012833777,0.00806508
5.5,1.4548763,1.9984927,18.188557,0.038275335,-0.17123678,-0.061581418,-0.085314386,0.0094168885,-0.027058724,0.013764758,0.00861482
6.0,1.4972483,2.0519805,18.001377,-0.11656616,-0.061513364,-0.06457192,-0.09108431,-0.03516233,-0.0067834556,0.014673751,0.009151576
6.5,1.7354726,2.1684527,17.87301,0.0061880597,-0.2188518,-0.06666032,-0.09511374,-0.004583408,0.03443249,0.015308544,0.0095264185
7.0,1.6837672,2.3597426,17.753275,-0.108212575,-0.045273583,-0.0686363,-0.09892623,0.042763498,-0.0029134154,0.015909163,0.009881081
7.5,2.0399246,2.56315,17.639977,-0.040536024,-0.2545249,-0.07053129,-0.10258246,-0.0034337414,-0.041878145,0.016485164,0.0102212075
8.0,1.8778858,2.8129878,17.536121,-0.08777033,-0.03674865,-0.07374938,-0.10675593,-0.047323614,0.016416805,0.01717164,0.010621091
8.5,2.3607059,3.0572276,17.5205,-0.09591713,-0.27279827,-0.080104016,-0.11052252,0.01532026,0.04837604,0.017885987,0.011020057
9.0,2.102109,3.2057414,17.505375,-0.059836198,-0.041175954,-0.08597564,-0.1140184,0.047573935,-0.032907583,0.018548274,0.011390059
9.5,2.7096872,3.4019465,17.486885,-0.15198867,-0.27314863,-0.09219464,-0.11777941,-0.032001656,-0.051428914,0.019258095,0.011787039
